Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",C_0603,8,100nF_0603_16V,
"C10, C11, C12, C9",CP_Radial_D8.0mm_P3.50mm,4,470uF_25V,
D1,LED_0603,1,LED_0603,
D2,D_SMA,1,SS14,
"H1, H2, H3, H4, H5",MountingHole_3.2mm_Pad,5,MountingHole_M3_3.2mm_Pad,
"J1, J5",39502-1020_1X20,2,1843787,
"J2, J3",JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical,2,JST_03,
J4,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_Switch,
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K2, K20, K21, K22, K23, K24, K25, K26, K27, K28, K3, K4, K5, K6, K7, K8, K9",Relay_SPDT_Finder_34.51_Vertical,28,FINDER-34.51,
"R1, R10, R11, R12, R13, R14, R17, R2, R3, R4, R5, R6, R7, R8, R9",R_0603,15,1k_0603,
"R15, R16",R_0603,2,10k_0603,
"U1, U2, U3, U4",SOIC-16_3.9x9.9mm_P1.27mm,4,ULN2003,
"U5, U6",SOIC-28W_7.5x17.9mm_P1.27mm,2,MCP23017_SO,
U7,SOT-223-3_TabPin2,1,LM1117MP-3.3,
