Designator,Mid X,Mid Y,Rotation,Layer
C1,132.7,-88.0,180.0,top
C10,139.70000013292355,-71.32996013292355,135.0,top
C11,191.9,-120.55,270.0,top
C12,183.2,-120.55,270.0,top
C2,132.9,-42.9,180.0,top
C3,134.6,-64.7,180.0,top
C4,133.8,-39.6,270.0,top
C5,146.75,-91.0,270.0,top
C6,134.5,-110.0,180.0,top
C7,137.9,-123.2,180.0,top
C8,137.9,-120.8,180.0,top
C9,133.05,-115.3,180.0,top
D1,132.5,-74.6,180.0,top
D2,200.2,-118.8,0.0,top
H1,212.0,-120.0,0.0,top
H2,122.0,-120.0,0.0,top
H3,212.0,-30.0,0.0,top
H4,122.0,-30.0,0.0,top
H5,132.0,-30.0,0.0,top
J1,120.0,-69.25,90.0,top
J2,119.8,-111.25,270.0,top
J3,124.8,-111.25,270.0,top
J4,211.95,-109.95,90.0,top
J5,214.25,-69.25,270.0,top
K1,162.7,-29.1,0.0,top
K10,192.4,-54.7,0.0,top
K11,162.7,-61.1,0.0,top
K12,192.4,-61.1,0.0,top
K13,162.7,-67.5,0.0,top
K14,192.4,-67.5,0.0,top
K15,162.7,-73.9,0.0,top
K16,192.4,-73.9,0.0,top
K17,162.7,-80.3,0.0,top
K18,192.4,-80.3,0.0,top
K19,162.7,-86.7,0.0,top
K2,192.4,-29.1,0.0,top
K20,192.4,-86.7,0.0,top
K21,162.7,-93.1,0.0,top
K22,192.4,-93.1,0.0,top
K23,162.7,-99.5,0.0,top
K24,192.4,-99.5,0.0,top
K25,162.7,-105.9,0.0,top
K26,192.4,-105.9,0.0,top
K27,162.7,-112.3,0.0,top
K28,192.4,-112.3,0.0,top
K3,162.7,-35.5,0.0,top
K4,192.4,-35.5,0.0,top
K5,162.7,-41.9,0.0,top
K6,192.4,-41.9,0.0,top
K7,162.7,-48.3,0.0,top
K8,192.4,-48.3,0.0,top
K9,162.7,-54.7,0.0,top
R1,133.0,-101.9,180.0,top
R10,132.1,-63.9,270.0,top
R11,129.9,-107.75,270.0,top
R12,129.9,-63.9,270.0,top
R13,127.7,-107.75,270.0,top
R14,127.7,-63.9,270.0,top
R15,128.35,-42.0,270.0,top
R16,130.3,-42.0,270.0,top
R17,132.5,-77.0,180.0,top
R2,132.8,-57.0,180.0,top
R3,132.1,-104.45,270.0,top
R4,132.1,-59.65,270.0,top
R5,129.9,-104.45,270.0,top
R6,129.9,-59.65,270.0,top
R7,127.7,-104.45,270.0,top
R8,127.7,-59.65,270.0,top
R9,132.1,-107.75,270.0,top
U1,139.95,-40.0,0.0,top
U2,139.95,-60.05,180.0,top
U3,139.8,-85.0,0.0,top
U4,139.8,-105.1,180.0,top
U5,136.135,-50.0,180.0,top
U6,136.0,-95.0,180.0,top
U7,145.3,-120.8,180.0,top
